video_id,title,published_at,duration,views,likes,comments,tags,channel
ENCOzcWbKSQ,HAT-TRICK vs Spain Challenge | Ronaldo's Road To The World Cup - EP. 3,2018-06-21T17:46:15Z,PT20M24S,1636338,36798,1859,"ronaldo,world,cup,hattrick,spain,goal,chrismd,challenge,football,soccer",ChrisMD
XcWEWrRyOaE,ZIDANE Headbutt Challenge | Ronaldo's Road To The World Cup - EP. 2,2018-06-15T21:57:15Z,PT15M2S,2216091,46141,2295,"ronaldo,world,cup,zidane,header,portugal,football,challenge",ChrisMD
K5TLS9LRPgE,JABULANI Free Kick Challenge | Ronaldo's Road To The World Cup - EP. 1,2018-06-08T13:56:33Z,PT15M56S,3442848,76574,3918,"world,cup,ronaldo,free kick,jabulani,ball,world cup 2018,russia,england,football,soccer,fifa world cup",ChrisMD
E934R9FcQcg,"Scoring In The Epic Finale Watched By 500,000 | SDMNFC vs YTAS 2018",2018-06-05T21:31:57Z,PT15M32S,5793095,88371,4086,"scoring,goal,sidemen,match,amazing,youtube,allstars,ksi,miniminter,chrismd",ChrisMD
oTxbeE2Knwk,ChrisMD Vs The F2 | The ULTIMATE Sunday League Footballer,2018-05-16T19:34:04Z,PT17M10S,6632204,115175,2786,"f2,f2freestylers,football,challenge,ultimate,sunday,league,skills,goals,world,cup",ChrisMD
eAnWK4D0_Ks,Gareth Bale Reacts to Best Goals in Sidemen Football Matches,2018-05-02T17:22:20Z,PT5M30S,4852009,119186,3666,"gareth,bale,reacts,reacts to,best,goal,football,sidemen,charity,match,ronaldo,my videos,real madrid",ChrisMD
I9nj674T6zs,Real Life PAINTBALL Fortnite Battle Royale,2018-04-30T16:01:15Z,PT14M1S,18700709,194873,6559,"fortnite,battle,royale,paintball,real,life,irl,w2s,callux,theo baker,kelly,ollie,war,nerf",ChrisMD
rSPmJra7naU,Shooting From KICK-OFF In A REAL MATCH,2018-03-17T19:32:25Z,PT16M40S,3224238,64125,2587,"scoring,goal,kick off,halfway,line,football,challenge,sunday,league,amazing,skills,hilarious,fails",ChrisMD
_GUT3uAzQkI,FEAR PONG Fortnite: Battle Royale vs WILLNE,2018-03-13T21:24:53Z,PT17M21S,2138326,53587,2284,"fortnite,battle royale,fortnite battle royale,willne,forfeit,fear,pong,epic games",ChrisMD
s7ZbBktblxw,How Much Money YouTubers Make,2018-03-08T15:57:25Z,PT6M50S,1461958,63105,1319,"how,much,money,youtubers,make,earn,youtube money,millionaires,pewdiepie,ksi,miniminter,chrismd,rich",ChrisMD
CBrE7tgm7VE,Are YOU Better Than Me At Football?,2018-02-22T21:11:58Z,PT14M23S,1533305,42771,1917,"football,challenges,w2s,chrismd,f2,sidemen,boxing,fortnite,allow me please I need these tags",ChrisMD
-PBblQpZ7zw,The KING of All Fifa Pack Openings,2018-01-31T19:57:40Z,PT18M13S,5789136,119900,5004,"fifa 18,pack,opening,toty,thierry henry,henry,ronaldo,messi,arsenal",ChrisMD
3npqcnKpn8M,HUGE LIVE TOTY 100K PACK OPENING - FIFA 18,2018-01-21T21:05:41Z,P0D,0,10,0,,ChrisMD
L9SG3HeG488,MESSI VS RONALDO | Fifa 18 TOTY Edition,2018-01-20T18:45:11Z,PT27M12S,4521534,65482,5531,"messi,vs,ronaldo,fifa 18,toty,fifa 18 toty,team of the year,messi toty,ronaldo toty,pack opening,pack,opening",ChrisMD
L7WmphM9dbI,Does Hitting The Valve Work?,2018-01-14T19:45:55Z,PT18M45S,1992385,49771,2234,"free kicks,football,challenge,how to,score,unsaveable,does,hitting,valve,work,experiment,ronaldo,free,kick",ChrisMD
3MSE8i5GWP4,Ronaldinho Crossbar Challenge 2018,2018-01-08T18:58:58Z,PT3M27S,1751773,66019,2146,"ronaldinho,crossbar,challenge,nike,commercial,joga bonito",ChrisMD
B9fZEkHxicw,Messi Vs Ronaldo SHOOT-OUT | El Clásico Style,2017-12-23T13:58:50Z,PT15M7S,13227715,192725,21197,"messi,ronaldo,el clasico,barcelona,real madrid,w2s,chrismd",ChrisMD
g4lyhneTmiA,What Does Spending £5000 on FIFA 18 Packs Get You?,2017-12-16T13:28:57Z,PT14M52S,5533955,118665,5475,"fifa 18,pack,opening,£5000,i spent,spending,pounds,icon,ronaldo,messi",ChrisMD
gL_7eIrLaGQ,Scoring Shearer's UNBELIEVABLE Famous Volley | Perfect Recreations #2,2017-12-05T21:04:06Z,PT10M52S,2128739,52870,3330,"best,goal,ever,alan shearer,premier league,top 10,skills,chrismd,recreated",ChrisMD
